First name;Number;First name (< 18);Number of carriers (< 18);First name (18-64);Number of carriers (18-64);First name (65+);Number of carriers (65+)
"""Ricardo""";349;"""Leonardo""";87;"""Mark""";216;"""Konstantinos""";21
"""Dorian""";302;"""Zayd""";78;"""Lorenzo""";190;"""Umberto""";18
"""Ismael""";272;"""Salaheddine""";68;"""Andrei""";171;"""Cesar""";15
"""Joaquim""";259;"""Sasha""";64;"""Zbigniew""";160;"""Layachi""";14
"""Alpha""";244;"""Matthew""";61;"""Angel""";149;"""Kaddour""";13
"""Aaron""";243;"""Alban""";60;"""Abdesselam""";148;"""Manfred""";13
"""Rui""";191;"""Abdessamad""";48;"""Gaetano""";114;"""Hamid""";10
"""Stephane""";182;"""Fayçal""";45;"""Gérald""";109;"""Amand""";9
"""Karel""";174;"""Matheo""";43;"""Léon""";105;"""Kadir""";9
"""Fabrizio""";172;"""Iyad""";42;"""Nordin""";104;"""Mohamad""";9
"""Oumar""";165;"""Marvin""";40;"""Emil""";98;"""Boujemaa""";8
"""Liam""";163;"""Richard""";40;"""Davide""";97;"""Ceylan""";8
"""Gaetano""";157;"""Houssam""";38;"""Salih""";94;"""Luciaan""";8
"""Achille""";153;"""Bogdan""";37;"""Pavel""";91;"""Rogier""";8
"""Geert""";150;"""Moncef""";37;"""Jerôme""";90;"""Sidi""";8
"""Diogo""";129;"""Emilio""";32;"""Yousef""";78;"""Theophiel""";7
"""Souleymane""";125;"""Abdelaziz""";31;"""Przemyslaw""";75;"""Alphonsus""";6
"""Allan""";114;"""Randy""";29;"""Evangelos""";66;"""Khalil""";6
"""Noam""";108;"""Virgile""";27;"""Mevlüt""";62;"""Touhami""";6
"""Abderrazak""";101;"""Bartlomiej""";25;"""Laurentiu""";60;"""Ayachi""";5
"""Niels""";98;"""Timothé""";25;"""Elvis""";57;"""Eleftherios""";5
"""Noa""";96;"""Jean-Baptiste""";24;"""Azzeddine""";56;"""Fritz""";5
"""Yannis""";94;"""Abdelali""";23;"""Aymeric""";55;"""Hussein""";5
"""Sammy""";83;"""Ferhat""";21;"""Gianluca""";51;;
"""Soulaimane""";83;"""Jalal""";21;"""Gino""";51;;
"""Henryk""";79;"""Gatien""";20;"""Abdou""";49;;
"""Eliot""";78;"""Mahir""";20;"""Timothée""";49;;
"""Arkadiusz""";75;"""Isa""";19;"""Romuald""";47;;
"""Joâo""";70;"""Vittorio""";18;"""Sebastiano""";44;;
"""Seydi""";68;"""Haitam""";17;"""Maxim""";42;;
"""Huseyin""";61;"""Claudio""";15;"""Chris""";38;;
"""M'hammed""";61;"""Esat""";15;"""Leonard""";38;;
"""Yoann""";61;"""Jean-François""";15;"""Aboubacar""";37;;
"""Chakir""";59;"""Quinten""";15;"""Edgard""";36;;
"""Yasar""";58;"""Barnabé""";14;"""Mirko""";35;;
"""Julius""";56;"""Mattias""";14;"""Ridha""";34;;
"""Abdellaziz""";55;"""Nikodem""";14;"""Younès""";34;;
"""Arsène""";52;"""Haroune""";13;"""Akram""";31;;
"""Nuri""";51;"""Rinor""";13;"""Terence""";31;;
"""Otto""";50;"""Ayrton""";12;"""Kerim""";30;;
"""Choukri""";47;"""Miraç""";12;"""Spyridon""";29;;
"""Marcello""";47;"""Pavlos""";12;"""Csaba""";28;;
"""Naser""";47;"""Rayen""";12;"""Faissal""";28;;
"""Ersin""";45;"""Atalay""";11;"""Imed""";27;;
"""Alec""";43;"""Joaquin""";11;"""Krystian""";26;;
"""Nicolaos""";43;"""Luke""";11;"""Scott""";26;;
"""Chaïb""";41;"""Adama""";10;"""Necati""";25;;
"""Faissal""";40;"""Dries""";10;"""Edoardo""";24;;
"""Sali""";40;"""Gregor""";10;"""Jakob""";24;;
"""Kalid""";39;"""Landry""";10;"""Selahattin""";24;;
"""Mikolaj""";36;"""Akira""";9;"""Khan""";22;;
"""Fevzi""";35;"""Donatien""";9;"""Brecht""";21;;
"""Florentin""";33;"""Petru""";9;"""Abderahim""";20;;
"""Gaspar""";31;"""Ivo""";8;"""Ilan""";19;;
"""Jilali""";31;"""Jean-Louis""";8;"""Kristian""";19;;
"""Lilian""";31;"""Kenji""";8;"""Pierre-Alexandre""";19;;
"""Jef""";30;"""Rohan""";8;"""Faik""";18;;
"""Levon""";30;"""Selahattin""";8;"""Ferdinando""";18;;
"""Antoon""";29;"""Zekeriya""";8;"""Özkan""";18;;
"""Josue""";28;"""Eugenio""";7;"""Jacobus""";17;;
"""Bouzian""";27;"""Lokmane""";7;"""Veaceslav""";17;;
"""Jerome""";27;"""Michelangelo""";7;"""Aslan""";16;;
"""Sefa""";26;"""Tayfun""";7;"""Radouan""";16;;
"""Micael""";25;"""Andréa""";6;"""Caner""";15;;
"""Nazim""";25;"""Antonios""";6;"""Cezar""";15;;
"""Slim""";25;"""Benedikt""";6;"""Gael""";15;;
"""Kossi""";24;"""Gian""";6;"""Shaban""";15;;
"""Özkan""";24;"""Haitham""";6;"""Torsten""";15;;
"""Ramiz""";24;"""Harald""";6;"""Valon""";15;;
"""Andras""";23;"""Jean-Michel""";6;"""Aykut""";14;;
"""Vianney""";23;"""Mouncef""";6;"""Mouhamadou""";14;;
"""Calvin""";22;"""Paul-Henri""";6;"""Serdal""";14;;
"""Coskun""";22;"""Raffi""";6;"""Sherif""";14;;
"""Mikaïl""";22;"""Semi""";6;"""Zied""";14;;
"""Nahel""";22;"""Sergey""";6;"""Achim""";13;;
"""Curtis""";21;"""Zayed""";6;"""Graziano""";13;;
"""Samuël""";21;"""Aleksandr""";5;"""Marjan""";13;;
"""Charaf""";20;"""Béni""";5;"""Teodoro""";13;;
"""Madjid""";20;"""Djan""";5;"""Asad""";12;;
"""Naïl""";20;"""Emrick""";5;"""Bertin""";12;;
"""Segundo""";20;"""Eser""";5;"""Demba""";12;;
"""Yorick""";20;"""Flamur""";5;"""Enis""";12;;
"""Gezim""";19;"""Ilie""";5;"""Komla""";12;;
"""Moez""";18;"""Papa""";5;"""Dinesh""";11;;
"""Antonius""";17;"""Sonny""";5;"""Ladislas""";11;;
"""Farès""";17;"""Usman""";5;"""Naceur""";11;;
"""Idir""";17;"""Yonas""";5;"""Piergiorgio""";11;;
"""Jhon""";17;"""Zein""";5;"""Rahul""";11;;
"""Tien""";17;;;"""Abdelkebir""";10;;
"""Vasil""";17;;;"""Abderrezak""";10;;
"""Zahir""";17;;;"""Amadeu""";10;;
"""Ayrton""";16;;;"""Bas""";10;;
"""Barthélémy""";16;;;"""Berat""";10;;
"""Djelloul""";16;;;"""Byron""";10;;
"""Outman""";16;;;"""Haider""";10;;
"""Saul""";16;;;"""José-Manuel""";10;;
"""Erich""";15;;;"""Rasit""";10;;
"""Görkem""";15;;;"""Sefa""";10;;
"""Isuf""";15;;;"""Tetsuya""";10;;
"""Jacquy""";15;;;"""Thijs""";10;;
"""Kofi""";15;;;"""Zakariaa""";10;;
"""Dmitri""";14;;;"""Jean-Christian""";9;;
"""Guglielmo""";14;;;"""Kwok""";9;;
"""Nebi""";14;;;"""Norayr""";9;;
"""Gaspare""";13;;;"""Yawo""";9;;
"""Gui""";13;;;"""Ziyad""";9;;
"""Maxwell""";13;;;"""Azdin""";8;;
"""Ottman""";13;;;"""Branislav""";8;;
"""Philemon""";13;;;"""Brett""";8;;
"""Rafi""";13;;;"""Conrad""";8;;
"""Wlodzimierz""";13;;;"""Gentian""";8;;
"""Assil""";12;;;"""Jéremy""";8;;
"""Kais""";12;;;"""Renaat""";8;;
"""Lubomir""";12;;;"""Salam""";8;;
"""Mathew""";12;;;"""Seppe""";8;;
"""Maximiliano""";12;;;"""Serafim""";8;;
"""Naveed""";12;;;"""Syuleyman""";8;;
"""Valter""";12;;;"""Abderazak""";7;;
"""Zaheer""";12;;;"""Ahmadou""";7;;
"""Daisuke""";11;;;"""Boudjemaa""";7;;
"""Rahul""";11;;;"""Kais""";7;;
"""Sebastiao""";11;;;"""Lauri""";7;;
"""Térence""";11;;;"""Mandeep""";7;;
"""Alimou""";10;;;"""Ouadie""";7;;
"""Amador""";10;;;"""Paco""";7;;
"""Boujemaâ""";10;;;"""Saed""";7;;
"""Ewald""";10;;;"""Tam""";7;;
"""Harri""";10;;;"""Visar""";7;;
"""Mikhaël""";10;;;"""Amador""";6;;
"""Mussa""";10;;;"""Andréas""";6;;
"""Remigiusz""";10;;;"""Behar""";6;;
"""Sebastián""";10;;;"""Brent""";6;;
"""Yaw""";10;;;"""Eliseo""";6;;
"""Yossef""";10;;;"""Emrullah""";6;;
"""Artour""";9;;;"""Gerry""";6;;
"""Bulent""";9;;;"""Hossam""";6;;
"""Chams""";9;;;"""Houdaïfa""";6;;
"""Dionisio""";9;;;"""Ismailj""";6;;
"""Dionysios""";9;;;"""Ismayil""";6;;
"""Dzhem""";9;;;"""Jade""";6;;
"""Gerlando""";9;;;"""Kouadio""";6;;
"""Hachim""";9;;;"""Lahfid""";6;;
"""Alexa""";8;;;"""Wa""";6;;
"""Aptil""";8;;;"""Yusuke""";6;;
"""Clemente""";8;;;"""Ademir""";5;;
"""Enea""";8;;;"""Amado""";5;;
"""Feim""";8;;;"""Aristotelis""";5;;
"""Joy""";8;;;"""Cristos""";5;;
"""Kalidou""";8;;;"""Dalil""";5;;
"""Ndue""";8;;;"""Gyorgy""";5;;
"""Sachin""";8;;;"""Illya""";5;;
"""Sayf""";8;;;"""Jahangir""";5;;
"""Thom""";8;;;"""Kay""";5;;
"""Adérito""";7;;;"""Mattéo""";5;;
"""Azan""";7;;;"""Nedret""";5;;
"""Bilall""";7;;;"""Nuhi""";5;;
"""Dawit""";7;;;"""Prashant""";5;;
"""Destan""";7;;;"""Qamil""";5;;
"""Eder""";7;;;"""Radhouane""";5;;
"""Ibryam""";7;;;"""Shintaro""";5;;
"""Ilyâs""";7;;;"""Silas""";5;;
"""Iskren""";7;;;"""Song""";5;;
"""Jawed""";7;;;"""Stéfan""";5;;
"""Kâmil""";7;;;"""Térence""";5;;
"""Mahieddine""";7;;;"""Wauthier""";5;;
"""Memis""";7;;;"""Yumer""";5;;
"""Noe""";7;;;;;;
"""Tarak""";7;;;;;;
"""Tomoki""";7;;;;;;
"""Ulric""";7;;;;;;
"""Victorien""";7;;;;;;
"""Aart""";6;;;;;;
"""Abdoulah""";6;;;;;;
"""Aka""";6;;;;;;
"""Arnoud""";6;;;;;;
"""Edvin""";6;;;;;;
"""Enock""";6;;;;;;
"""Gafur""";6;;;;;;
"""Haythem""";6;;;;;;
"""Homar""";6;;;;;;
"""Husein""";6;;;;;;
"""Jean-Robert""";6;;;;;;
"""Jean-Sebastien""";6;;;;;;
"""Nayden""";6;;;;;;
"""Nolann""";6;;;;;;
"""Noury""";6;;;;;;
"""Olgun""";6;;;;;;
"""Rajinder""";6;;;;;;
"""Théotime""";6;;;;;;
"""Baljinder""";5;;;;;;
"""Benedek""";5;;;;;;
"""Benyouness""";5;;;;;;
"""Bilent""";5;;;;;;
"""Bouabdellah""";5;;;;;;
"""Boumedienne""";5;;;;;;
"""Chemsedine""";5;;;;;;
"""Edwig""";5;;;;;;
"""Halmi""";5;;;;;;
"""Houmad""";5;;;;;;
"""Jabran""";5;;;;;;
"""Jouneyd""";5;;;;;;
"""Juanito""";5;;;;;;
"""Kivanç""";5;;;;;;
"""Lassana""";5;;;;;;
"""Laye""";5;;;;;;
"""Layth""";5;;;;;;
"""Leeroy""";5;;;;;;
"""Maikel""";5;;;;;;
"""Najm""";5;;;;;;
"""Nedret""";5;;;;;;
"""Nektarios""";5;;;;;;
"""Patient""";5;;;;;;
"""Rabia""";5;;;;;;
"""Ramdan""";5;;;;;;
"""Ramunas""";5;;;;;;
"""Sergejs""";5;;;;;;
"""Silvian""";5;;;;;;
"""Stewart""";5;;;;;;
"""Tarun""";5;;;;;;
"""Veysal""";5;;;;;;
"""Yoeri""";5;;;;;;
"""Lorin""";5;;;;;;
"""Lowie""";5;;;;;;
"""Mihran""";5;;;;;;
"""Mounaïm""";5;;;;;;
"""Muneeb""";5;;;;;;
"""Nabeel""";5;;;;;;
"""Nural""";5;;;;;;
"""Reshat""";5;;;;;;
"""Roan""";5;;;;;;
"""Rodrigues""";5;;;;;;
"""Rustem""";5;;;;;;
"""Saîd""";5;;;;;;
"""Saïf""";5;;;;;;
"""Sejdi""";5;;;;;;
"""Svetozar""";5;;;;;;
"""Taimoor""";5;;;;;;
"""Xhevdet""";5;;;;;;
"""Yasen""";5;;;;;;
"""Zaza""";5;;;;;;
"""Zhao""";5;;;;;;
"""Julien""";2063;"""Samuel""";506;"""Yves""";1457;"""Lucien""";355
"""Gabriel""";1328;"""Quentin""";292;"""Samir""";798;"""Alfred""";145
"""Amine""";897;"""Lorenzo""";193;"""Francisco""";554;"""Pieter""";74
"""Jérôme""";817;"""Ismael""";171;"""Mehmet""";525;"""Guido""";66
"""Benoit""";736;"""Christopher""";151;"""Johan""";479;"""Franz""";57
"""Etienne""";726;"""Gaspard""";149;"""Miguel""";460;"""Franciscus""";56
"""Edouard""";652;"""Vincent""";143;"""Adrien""";431;"""Hugo""";51
"""Gaëtan""";531;"""Augustin""";124;"""Ivan""";356;"""Max""";37
"""Mathias""";405;"""Jérôme""";97;"""Angelo""";262;"""Frank""";25
"""Jawad""";403;"""Mounir""";97;"""Thibault""";262;"""Germain""";25
"""Pablo""";370;"""Philippe""";91;"""Wojciech""";237;"""Henricus""";23
"""Mihai""";330;"""Mouad""";85;"""Joaquim""";209;"""Chaïb""";19
"""Armand""";307;"""Gaëtan""";79;"""Yahya""";195;"""Joaquim""";18
"""Cyril""";296;"""Albert""";74;"""Nathan""";184;"""Stefan""";17
"""Salah""";258;"""Adel""";63;"""Amar""";159;"""Lionel""";14
"""Osman""";253;"""Soulaimane""";63;"""Larbi""";155;"""Ricardo""";14
"""Baptiste""";230;"""Oliver""";57;"""Abdul""";139;"""Bertrand""";12
"""Hans""";229;"""Edgar""";56;"""Slawomir""";138;"""Eugeen""";12
"""Bogdan""";228;"""Safouane""";56;"""Joachim""";136;"""Hilaire""";12
"""Mohamad""";191;"""Oumar""";49;"""Abdelmalek""";114;"""Gerhard""";10
"""Norbert""";191;"""Rémi""";49;"""Armand""";114;"""Gregorio""";10
"""Carl""";185;"""Salmane""";47;"""Janusz""";111;"""Renatus""";10
"""Hadrien""";174;"""Josué""";43;"""Maximilien""";106;"""Jackie""";9
"""Dany""";159;"""Youri""";39;"""Brian""";94;"""Ian""";8
"""Jacek""";154;"""Timothy""";38;"""Nour-Eddine""";92;"""Piero""";8
"""Oliver""";152;"""Charly""";37;"""Enrico""";90;"""Salvador""";8
"""Semih""";113;"""Atilla""";28;"""Gerard""";65;"""Marino""";6
"""Joel""";110;"""Erwan""";27;"""Claudiu""";63;"""Raul""";6
"""Gerard""";103;"""Raul""";26;"""Aydin""";60;"""Aloïs""";5
"""Pierre-Yves""";101;"""Carlo""";25;"""Milan""";60;"""Bagdad""";5
"""Salaheddine""";100;"""Faysal""";25;"""Houssain""";59;"""Branko""";5
"""Arno""";96;"""Brice""";24;"""Viktor""";57;"""Eugene""";5
"""Bekir""";74;"""Naïl""";19;"""Gaspard""";46;;
"""Marcelo""";73;"""Aiman""";18;"""Deniz""";45;;
"""Lahouari""";70;"""Wahil""";18;"""Soner""";44;;
"""Emiel""";62;"""Abdeljalil""";15;"""Muzaffer""";39;;
"""Moïse""";61;"""Exaucé""";15;"""Logan""";38;;
"""Faris""";59;"""Solomon""";15;"""Marvin""";36;;
"""Gaetan""";59;"""Soulaïman""";15;"""Mohand""";36;;
"""Hussain""";55;"""Ramy""";14;"""Benny""";33;;
"""Aboubacar""";54;"""Yaël""";14;"""Petros""";33;;
"""Isidore""";51;"""Oktay""";13;"""Reginald""";31;;
"""Dries""";50;"""Zaki""";13;"""Bajram""";30;;
"""Ariel""";49;"""Chamseddine""";12;"""Mimoune""";30;;
"""Donovan""";48;"""Iker""";12;"""Giuliano""";29;;
"""Slimane""";48;"""Jean-Christophe""";12;"""Innocent""";29;;
"""Valentino""";48;"""Kassem""";12;"""Nathanaël""";29;;
"""Enis""";47;"""Nadim""";12;"""Apostolos""";28;;
"""Ishaq""";47;"""Nordin""";12;"""Chokri""";28;;
"""Domingos""";46;"""Yago""";12;"""Valerio""";28;;
"""Farouk""";45;"""Bader""";11;"""Luís""";27;;
"""Harald""";45;"""Bertrand""";11;"""Pierre-Emmanuel""";27;;
"""Fethi""";44;"""Fahad""";11;"""Bruce""";26;;
"""Halim""";44;"""Firas""";11;"""Darius""";26;;
"""Kaddour""";44;"""Gabriël""";11;"""Firas""";26;;
"""Agostinho""";43;"""Jay""";11;"""Komi""";26;;
"""Apostolos""";42;"""Nathanael""";11;"""Bassam""";25;;
"""Virgile""";42;"""Veysel""";11;"""Loris""";25;;
"""Elyas""";40;"""Dorsan""";10;"""Duy""";24;;
"""Tudor""";38;"""Sarkis""";10;"""Rob""";23;;
"""Daan""";35;"""Cheikh""";9;"""Andrej""";21;;
"""Valon""";35;"""Isaak""";9;"""Hélder""";21;;
"""Vital""";34;"""Mohcine""";9;"""Simion""";21;;
"""Jasper""";33;"""Sebastiaan""";9;"""Anastassios""";20;;
"""Koray""";33;"""Shady""";9;"""Artan""";20;;
"""Gordon""";32;"""August""";8;"""Riza""";20;;
"""Mohamadi""";30;"""Shaban""";8;"""Jerome""";18;;
"""Afonso""";29;"""Yorick""";8;"""Osama""";18;;
"""Firat""";28;"""Egor""";7;"""Ghulam""";17;;
"""Osama""";28;"""Haïtam""";7;"""Messaoud""";17;;
"""Tao""";28;"""Isam""";7;"""Oleksandr""";17;;
"""Abdelmjid""";27;"""Jean-Luc""";7;"""Sandeep""";17;;
"""Armin""";27;"""Kornel""";7;"""Trésor""";17;;
"""Sid""";27;"""Némo""";7;"""Elhadji""";16;;
"""Dris""";26;"""Ridwane""";7;"""Jeton""";16;;
"""Mohieddine""";5;;;;;;
"""Paul-Henry""";5;;;;;;
"""Pere""";5;;;;;;
"""Phil""";5;;;;;;
"""Pierre-Nicolas""";5;;;;;;
"""Pitchou""";5;;;;;;
"""Quincy""";5;;;;;;
"""Riaz""";5;;;;;;
"""Sebastião""";5;;;;;;
"""Ulises""";5;;;;;;
"""Vaysal""";5;;;;;;
"""Viken""";5;;;;;;
"""Ying""";5;;;;;;
"""Yousouf""";5;;;;;;
"""Zéphir""";5;;;;;;
"""Miljaim""";5;;;;;;
"""Nhat""";5;;;;;;
"""Noë""";5;;;;;;
"""Raad""";5;;;;;;
"""Sasho""";5;;;;;;
"""Sayah""";5;;;;;;
"""Vebi""";5;;;;;;
"""Vesselin""";5;;;;;;
"""Wolfram""";5;;;;;;
"""Xhevair""";5;;;;;;
"""Yahaya""";5;;;;;;
"""Yaovi""";5;;;;;;
"""Yoram""";5;;;;;;
"""Zin""";5;;;;;;
"""Alain""";3549;"""Anas""";808;"""Daniel""";2854;"""Joseph""";919
"""Christophe""";2278;"""Victor""";564;"""Stéphane""";1592;"""Philippe""";490
"""Louis""";1771;"""Hugo""";446;"""Serge""";1397;"""Gilbert""";296
"""Yves""";1729;"""Luca""";432;"""Robert""";1350;"""Jan""";279
"""Xavier""";1464;"""Adrien""";314;"""Abdelkader""";825;"""Armand""";158
"""Lucas""";893;"""Yassir""";185;"""Mimoun""";540;"""Omar""";73
"""John""";739;"""Thibault""";153;"""Roger""";493;"""Désiré""";57
"""Stefan""";536;"""Michaël""";125;"""Aziz""";356;"""Abderrahmane""";37
"""Sacha""";501;"""Arda""";118;"""Willy""";327;"""Ahmet""";33
"""Ivan""";493;"""Taha""";118;"""Moussa""";321;"""Maurits""";33
"""Fernando""";430;"""Luka""";105;"""Grzegorz""";284;"""Wilfried""";29
"""Rayane""";430;"""Mohammad""";105;"""Pawel""";284;"""Abdelhamid""";28
"""Jean-Paul""";405;"""James""";97;"""Freddy""";265;"""Eduard""";25
"""Tomasz""";395;"""Nawfel""";96;"""Thibaut""";257;"""Armando""";24
"""Amir""";341;"""Souleyman""";87;"""George""";213;"""Abdelmajid""";20
"""Sofiane""";339;"""Carlos""";86;"""Pablo""";213;"""Antoon""";20
"""Achraf""";335;"""Juan""";85;"""Jean-Michel""";211;"""Mohand""";20
"""Corentin""";310;"""André""";81;"""Ioannis""";198;"""Evangelos""";18
"""Hugues""";301;"""Sean""";77;"""Ismaël""";188;"""Alan""";17
"""Alfred""";260;"""Safwane""";64;"""Mathias""";160;"""Juliaan""";14
"""Elie""";246;"""Abel""";61;"""Aurélien""";151;"""Horst""";13
"""Youness""";235;"""Efe""";58;"""Abdel""";144;"""Valère""";13
"""Jean-Michel""";224;"""Owen""";55;"""Jeroen""";134;"""Philip""";12
"""Yasin""";224;"""Tim""";55;"""Matthias""";133;"""Reginald""";12
"""Massimo""";211;"""Marouan""";53;"""Dany""";129;"""Domingos""";11
"""Léo""";199;"""Maciej""";51;"""Jerzy""";121;"""Rachid""";11
"""Bastien""";180;"""Ugo""";45;"""Andy""";108;"""Anthony""";9
"""Tim""";166;"""Hüseyin""";40;"""Baptiste""";98;"""Arturo""";8
"""Kévin""";161;"""Nicholas""";39;"""Felix""";95;"""Hamza""";8
"""Boubacar""";149;"""Alexandros""";36;"""Ayhan""";89;"""Thierri""";8
"""Süleyman""";144;"""Joel""";35;"""Nour""";85;"""Ezio""";7
"""Hassane""";138;"""Alberto""";33;"""Christoph""";81;"""Jean-Michel""";7
"""Ceylan""";131;"""Arman""";32;"""Omer""";78;"""Silvio""";7
"""Rosario""";116;"""Jamal""";29;"""Ngoc""";68;"""Gordon""";6
"""Elliot""";109;"""Haris""";27;"""Jakub""";63;"""Régis""";6
"""Nawfel""";108;"""Paulo""";27;"""Markus""";62;"""Tan""";6
"""Marouan""";103;"""Süleyman""";26;"""Hector""";60;"""Amédée""";5
"""Azzeddine""";89;"""Volkan""";23;"""Ekrem""";53;"""Moncef""";5
"""Bert""";85;"""Romeo""";22;"""Georgi""";52;"""Urbano""";5
"""Kerim""";85;"""Saâd""";22;"""Ilir""";52;"""Valentino""";5
"""Grigore""";77;"""Wesley""";20;"""Ken""";48;;
"""Ferhat""";76;"""Auguste""";19;"""Abel""";47;;
"""Ernesto""";71;"""Jim""";18;"""Augusto""";44;;
"""Abdülkadir""";69;"""Aleksandar""";17;"""Houcine""";43;;
"""Agnaldo""";6;;;;;;
"""Amed""";6;;;;;;
"""Benamar""";6;;;;;;
"""Chau""";6;;;;;;
"""Elmo""";6;;;;;;
"""Erblin""";6;;;;;;
"""Giani""";6;;;;;;
"""Gregg""";6;;;;;;
"""Hazir""";6;;;;;;
"""Iliyaz""";6;;;;;;
"""Jean-Patrick""";6;;;;;;
"""Jody""";6;;;;;;
"""Kay""";6;;;;;;
"""Kazuki""";6;;;;;;
"""Nesat""";6;;;;;;
"""Nixon""";6;;;;;;
"""Nour-Eddin""";6;;;;;;
"""Onni""";6;;;;;;
"""Philipe""";6;;;;;;
"""Rade""";6;;;;;;
"""Sofiene""";6;;;;;;
"""Spyros""";6;;;;;;
"""Théophane""";6;;;;;;
"""Tuncer""";6;;;;;;
"""Wa""";6;;;;;;
"""Wahab""";6;;;;;;
"""Yorgi""";6;;;;;;
"""Zakharia""";6;;;;;;
"""Abdelkamal""";5;;;;;;
"""Abdelkbir""";5;;;;;;
"""Antero""";5;;;;;;
"""Byurhan""";5;;;;;;
"""Camel""";5;;;;;;
"""Chouaïb""";5;;;;;;
"""Djillali""";5;;;;;;
"""Elder""";5;;;;;;
"""Eliazar""";5;;;;;;
"""Elmaz""";5;;;;;;
"""Gaurav""";5;;;;;;
"""Girish""";5;;;;;;
"""Kabamba""";5;;;;;;
"""Krassimir""";5;;;;;;
"""Lamnouar""";5;;;;;;
"""Laurynas""";5;;;;;;
"""Loran""";5;;;;;;
"""Maximillian""";5;;;;;;
"""Misael""";5;;;;;;
"""Momchil""";5;;;;;;
"""Moumouni""";5;;;;;;
"""Nel""";5;;;;;;
"""Oganes""";5;;;;;;
"""Osamu""";5;;;;;;
"""Peyman""";5;;;;;;
"""Qaïs""";5;;;;;;
"""Rasoul""";5;;;;;;
"""Reinout""";5;;;;;;
"""Sabato""";5;;;;;;
"""Srdan""";5;;;;;;
"""Takeo""";5;;;;;;
"""Wilfred""";5;;;;;;
"""Wilton""";5;;;;;;
"""Yotam""";5;;;;;;
"""Ilyes""";68;"""Gianni""";17;"""Gonzalo""";42;;
"""Hichem""";67;"""Marlon""";17;"""Valeriu""";42;;
"""Fayssal""";63;"""Nasreddine""";16;"""Silviu""";40;;
"""Simone""";61;"""Henrik""";15;"""Abdenbi""";37;;
"""Yohan""";57;"""Firat""";14;"""Duc""";34;;
"""Taner""";55;"""Tenzin""";14;"""Mahdi""";33;;
"""Beniamin""";53;"""Besnik""";13;"""Gianfranco""";32;;
"""Petre""";52;"""Malcolm""";13;"""Kokou""";31;;
"""Giuliano""";50;"""Abdurrahman""";12;"""Blerim""";30;;
"""Réginald""";49;"""Frederik""";12;"""Benaïssa""";29;;
"""Ireneusz""";48;"""Jasper""";12;"""Houssein""";29;;
"""Anastasios""";46;"""Wilson""";12;"""Tudor""";28;;
"""Matheo""";44;"""Hedi""";11;"""Helmut""";26;;
"""Abdelwahid""";42;"""Moritz""";11;"""Avelino""";25;;
"""August""";42;"""Niklas""";11;"""Bouzian""";25;;
"""Valéry""";42;"""Veli""";11;"""Laurens""";25;;
"""Mouhsine""";41;"""Andrés""";10;"""Turgay""";25;;
"""Yuri""";41;"""Clarence""";10;"""Ashraf""";24;;
"""Kazim""";40;"""Ephraïm""";10;"""Gonçalo""";24;;
"""Billy""";38;"""Mevlut""";10;"""Fevzi""";23;;
"""Jozsef""";38;"""Pierrick""";10;"""Lulzim""";23;;
"""Emeric""";37;"""Seyhan""";10;"""Sander""";23;;
"""Siméon""";36;"""Aubin""";9;"""Sid""";22;;
"""Aboubakr""";35;"""Byron""";9;"""Vardan""";22;;
"""Emmanouil""";35;"""Christ""";9;"""Bahri""";21;;
"""Jaak""";34;"""Ludovico""";9;"""Nourredine""";21;;
"""Kaïs""";33;"""Sebastián""";9;"""Ardian""";20;;
"""Luke""";33;"""Shayan""";9;"""Atanas""";20;;
"""Loukas""";32;"""Chams""";8;"""Tibor""";20;;
"""Eyüp""";31;"""Imed""";8;"""Hakki""";19;;
"""Carsten""";30;"""Nikolay""";8;"""Battal""";18;;
"""Chi""";30;"""Octavian""";8;"""Bouziane""";18;;
"""Soliman""";29;"""Caio""";7;"""Bünyamin""";17;;
"""Donato""";28;"""Dinis""";7;"""Fred""";17;;
"""Sarkis""";28;"""Ilies""";7;"""Nicolaie""";17;;
"""Aidan""";26;"""Patrice""";7;"""Hamit""";16;;
"""Raimondo""";26;"""Stijn""";7;"""Pierre-Henri""";16;;
"""Atila""";25;"""Wannes""";7;"""Washington""";16;;
"""Umar""";25;"""Bob""";6;"""Géraud""";15;;
"""Ari""";24;"""Cosmo""";6;"""Jean-Nicolas""";15;;
"""Humberto""";24;"""Franz""";6;"""Saeed""";15;;
"""Mamadi""";24;"""Grigore""";6;"""Taher""";15;;
"""Sunay""";24;"""Idrissa""";6;"""Abdennour""";14;;
"""Brecht""";23;"""Joyce""";6;"""Edmund""";14;;
"""Teddy""";23;"""Mirac""";6;"""Merouane""";14;;
"""Vardan""";23;"""Mouhcine""";6;"""Mongi""";14;;
"""Florim""";22;"""Robinson""";6;"""Szabolcs""";14;;
"""Mirza""";22;"""Senne""";6;"""Abdelâli""";13;;
"""Wladyslaw""";22;"""Timeo""";6;"""Czeslaw""";13;;
"""Ergün""";21;"""Aarav""";5;"""Hikmet""";13;;
"""Nail""";21;"""Aitor""";5;"""Liam""";13;;
"""Plamen""";21;"""Alek""";5;"""Marcelino""";13;;
"""Steffen""";21;"""Andrès""";5;"""Morten""";13;;
"""Dante""";20;"""Berdan""";5;"""Timur""";13;;
